lat_suburb,long_suburb,suburb,region,state
-43.15333,147.07253,Cygnet,Huon Valley,Tasmania
-26.98333,152.8,D'Aguilar,Moreton Bay,Queensland
-33.93333,151.23333,Daceyville,Randwick,New South Wales
-27.18169,151.26205,Dalby,Western Downs,Queensland
-20.66275,116.71256,Dampier,Roebourne,Western Australia
-37.98333,145.2,Dandenong,Greater Dandenong,Victoria
-34.5,150.78333,Dapto,Wollongong,New South Wales
-31.81255,115.8458,Darch,Wanneroo,Western Australia
-34.09468,142.03966,Dareton,Wentworth,New South Wales
-35.03333,138.56667,Darlington,Onkaparinga,South Australia
-31.91906,116.0812,Darlington,Mundaring,Western Australia
-34.56942,145.9987,Darlington Point,Murrumbidgee Shire,New South Wales
-12.46113,130.84185,Darwin,Darwin,Northern Territory
-33.74297,151.2008,Davidson,Warringah,New South Wales
-27.33333,153.06667,Deagon,Brisbane,Queensland
-27.19354,153.02631,Deception Bay,Moreton Bay,Queensland
-27.66719,152.74867,Deebing Heights,Ipswich,Queensland
-37.58911,143.81472,Delacombe,Ballarat North,Victoria
-41.52477,146.65701,Deloraine,Meander Valley,Tasmania
-33.98307,150.84606,Denham Court,Campbelltown Municipality,New South Wales
-35.52741,144.95958,Deniliquin,Deniliquin,New South Wales
-32.38788,150.68935,Denman,Muswellbrook,New South Wales
-34.96067,117.35321,Denmark,Denmark,Western Australia
-17.30295,123.62864,Derby,Derby-West Kimberley,Western Australia
-37.79238,144.76994,Derrimut,Brimbank,Victoria
-41.17695,146.35152,Devonport,Devonport,Tasmania
-37.62597,144.71881,Diggers Rest,Hume,Victoria
-29.25818,114.93276,Dongara,Irwin,Western Australia
-33.5713,115.82446,Donnybrook,Donnybrook-Balingup,Western Australia
-33.76667,150.86667,Doonside,Blacktown,New South Wales
-33.08139,151.49677,Dora Creek,Lake Macquarie Shire,New South Wales
-37.6,145.15,Doreen,Nillumbik,Victoria
-30.34112,152.71394,Dorrigo,Bellingen,New South Wales
-34.18496,150.71449,Douglas Park,Wollondilly,New South Wales
-38.33375,144.96458,Dromana,Mornington Peninsula,Victoria
-32.24295,148.60484,Dubbo,Dubbo Municipality,New South Wales
-32.01634,149.3871,Dunedoo,Warrumbungle Shire,New South Wales
-32.40032,151.75758,Dungog,Dungog,New South Wales
-33.58333,115.08333,Dunsborough,Busselton,Western Australia
-42.90541,147.31576,Dynnyrne,Hobart,Tasmania
-36.08144,146.92991,East Albury,Albury Municipality,New South Wales
-28.86667,153.58333,East Ballina,Ballina,New South Wales
-32.0098,115.95503,East Cannington,Canning,Western Australia
-38.15568,144.37202,East Geelong,Greater Geelong,Victoria
-33.96667,150.98333,East Hills,Liverpool,New South Wales
-41.43843,147.15101,East Launceston,Launceston,Tasmania
-33.76664,151.18685,East Lindfield,Ku-ring-gai,New South Wales
-28.81933,153.28743,East Lismore,Lismore Municipality,New South Wales
-32.75,151.58333,East Maitland,Maitland Municipality,New South Wales
-33.81031,151.13153,East Ryde,Ryde,New South Wales
-31.08548,150.93721,East Tamworth,Tamworth Municipality,New South Wales
-27.57086,151.97422,East Toowoomba,Toowoomba,Queensland
-31.98894,115.90388,East Victoria Park,Victoria Park,Western Australia
-33.31664,115.70503,Eaton,Dardanup,Western Australia
-36.14057,144.75185,Echuca,Campaspe,Victoria
-37.06322,149.90401,Eden,Bega Valley,New South Wales
-33.37731,149.54654,Eglinton,Bathurst Regional,New South Wales
-32.91621,151.67665,Elermore Vale,Newcastle,New South Wales
-34.71944,138.67707,Elizabeth,Salisbury,South Australia
-37.7,145.15,Eltham North,Nillumbik,Victoria
-23.52296,148.15784,Emerald,Central Highlands,Queensland
-37.93167,145.44093,Emerald,Cardinia,Victoria
-33.73453,150.64874,Emu Heights,Penrith Municipality,New South Wales
-35.57419,138.60055,Encounter Bay,Victor Harbor,South Australia
-34.06564,151.01266,Engadine,Sutherland Shire,New South Wales
-30.73333,151.8,Enmore,Armidale Dumaresq,New South Wales
-36.71667,144.31667,Epsom,Greater Bendigo,Victoria
-33.43218,151.38972,Erina,Gosford Shire,New South Wales
-33.81483,151.05467,Ermington,Parramatta,New South Wales
-32.55717,115.70657,Erskine,Mandurah,Western Australia
-33.86013,121.88259,Esperance,Esperance Shire,Western Australia
-32.26667,148.68333,Eulomogo,Dubbo Municipality,New South Wales
-37.9978,145.24821,Eumemmerring,Casey,Victoria
-41.56858,147.25271,Evandale,Northern Midlands,Tasmania
-29.11777,153.43072,Evans Head,Richmond Valley,New South Wales
-27.40732,152.9884,Everton Park,Brisbane,Queensland
-33.86938,150.97129,Fairfield East,Fairfield,New South Wales
-34.96667,150.6,Falls Creek,Shoalhaven Shire,New South Wales
-12.42275,130.83627,Fannie Bay,Darwin,Northern Territory
-28.6485,153.4512,Federal,Byron Shire,New South Wales
-32.9922,151.60008,Fennell Bay,Lake Macquarie Shire,New South Wales
-37.88333,145.33333,Ferny Creek,Yarra Ranges,Victoria
-27.39594,152.93737,Ferny Hills,Moreton Bay,Queensland
-35.64904,145.57704,Finley,Berrigan,New South Wales
-37.78825,144.93001,Flemington,Moonee Valley,Victoria
-27.65046,152.77451,Flinders View,Ipswich,Queensland
-33.38436,148.0076,Forbes,Forbes,New South Wales
-35.1481,147.46707,Forest Hill,Wagga Wagga,New South Wales
-27.62563,152.96883,Forest Lake,Brisbane,Queensland
-33.76667,151.20833,Forestville,Warringah,New South Wales
-35.31499,149.12859,Forrest,Australian Capital Territory,Australian Capital Territory
-32.18136,152.51715,Forster,Great Lakes,New South Wales
-43.08884,147.00906,Franklin,Huon Valley,Tasmania
-38.12352,145.14836,Frankston North,Frankston,Victoria
-31.03749,152.8753,Frederickton,Kempsey,New South Wales
-34.45407,138.80868,Freeling,Light,South Australia
-33.65297,151.04713,Galston,Hornsby Shire,New South Wales
-38.08985,145.67502,Garfield,Cardinia,Victoria
-32.98208,151.69188,Gateshead,Lake Macquarie Shire,New South Wales
